Fuente;Código de Departamento;Mes;Hora del hecho;Diurno/Nocturno;Sexo;Edad;Edad agrupada;Clase de Víctima;Vehículo Víctima (excluir peatón);Tipo de usuario;Modo de Producción del Hecho;Fecha del hecho;Tipo de Lugar
Ministerio de Seguridad;819;Julio;07:40;Diurno;Varón;64;55 - 64;Conductor;Camioneta;Camioneta;Vuelco / despiste;2018-07-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;252;Julio;11:15;Diurno;Varón;62;55 - 64;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-07-05 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;420;Julio;22:30;Nocturno;Varón;39;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-05 00:00:00.000;Calle
Ministerio de Seguridad;763;Julio;07:30;Diurno;Varón;18;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-06 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;763;Julio;07:30;Diurno;Mujer;19;15 - 24;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-06 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;441;Julio;12:00;Diurno;Varón;18;15 - 24;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-07-06 00:00:00.000;Calle
Ministerio de Seguridad;763;Julio;03:15;Nocturno;Varón;37;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-07 00:00:00.000;Calle
Ministerio de Seguridad;595;Julio;22:00;Nocturno;Mujer;82;75 y más;Acompañante;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-07 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;760;Julio;22:30;Nocturno;Varón;35;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-07 00:00:00.000;Calle
Ministerio de Seguridad;539;Julio;22:20;Nocturno;Varón;43;35 - 44;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-07 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;274;Julio;19:50;Nocturno;Varón;55;55 - 64;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-07 00:00:00.000;Calle
Ministerio de Seguridad;588;Julio;06:40;Nocturno;Varón;29;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-08 00:00:00.000;Sin determinar
Ministerio de Seguridad;833;Julio;02:00;Nocturno;Mujer;20;15 - 24;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-08 00:00:00.000;Calle
Ministerio de Seguridad;728;Julio;05:30;Nocturno;Varón;23;15 - 24;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-07-08 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;427;Julio;09:00;Diurno;Varón;21;15 - 24;Acompañante;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-09 00:00:00.000;Calle
Ministerio de Seguridad;441;Julio;20:15;Nocturno;Mujer;39;35 - 44;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-09 00:00:00.000;Calle
Ministerio de Seguridad;686;Julio;14:35;Diurno;Varón;22;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-12 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;134;Julio;20:00;Nocturno;Varón;36;35 - 44;Conductor;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-07-12 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;623;Julio;19:40;Nocturno;Varón;21;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-13 00:00:00.000;Sin determinar
Ministerio de Seguridad;126;Julio;20:20;Nocturno;Varón;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-13 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;819;Julio;20:15;Nocturno;Mujer;36;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-13 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;427;Julio;02:45;Nocturno;Varón;71;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-14 00:00:00.000;Calle
Ministerio de Seguridad;427;Julio;08:30;Diurno;Varón;31;25 - 34;Conductor;Camión;Camión;Vuelco / despiste;2018-07-14 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;490;Julio;16:00;Diurno;Varón;-1;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-07-14 00:00:00.000;Calle
Ministerio de Seguridad;224;Julio;06:39;Nocturno;Mujer;29;25 - 34;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;224;Julio;06:39;Nocturno;Mujer;6;5 - 14;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;224;Julio;06:39;Nocturno;Varón;32;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;224;Julio;06:39;Nocturno;Varón;46;45 - 54;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;672;Julio;12:30;Diurno;Mujer;66;65 - 74;Sin determinar;Automóvil;Automóvil;Vuelco / despiste;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;672;Julio;12:30;Diurno;Varón;39;35 - 44;Sin determinar;Automóvil;Automóvil;Vuelco / despiste;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;672;Julio;12:30;Diurno;Varón;73;65 - 74;Sin determinar;Automóvil;Automóvil;Vuelco / despiste;2018-07-15 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;266;Julio;11:30;Diurno;Varón;52;45 - 54;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-15 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;560;Julio;10:00;Diurno;Varón;61;55 - 64;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-07-15 00:00:00.000;Calle
Ministerio de Seguridad;568;Julio;04:40;Nocturno;Mujer;64;55 - 64;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-15 00:00:00.000;Calle
Ministerio de Seguridad;539;Julio;18:05;Diurno;Varón;29;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-16 00:00:00.000;Calle
Ministerio de Seguridad;371;Julio;17:55;Diurno;Varón;44;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-17 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;028;Julio;20:20;Nocturno;Varón;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-17 00:00:00.000;Calle
Ministerio de Seguridad;266;Julio;07:15;Diurno;Varón;41;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-19 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;035;Julio;12:00;Diurno;Varón;-1;Sin determinar;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-19 00:00:00.000;Calle
Ministerio de Seguridad;441;Julio;14:15;Diurno;Varón;47;45 - 54;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-19 00:00:00.000;Calle
Ministerio de Seguridad;728;Julio;06:00;Nocturno;Varón;62;55 - 64;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-07-19 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;035;Julio;12:10;Diurno;Varón;44;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-21 00:00:00.000;Calle
Ministerio de Seguridad;441;Julio;23:40;Nocturno;Varón;18;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-21 00:00:00.000;Calle
Ministerio de Seguridad;357;Julio;05:50;Nocturno;Varón;20;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-22 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;515;Julio;08:30;Diurno;Varón;50;45 - 54;Sin determinar;Sin determinar;Sin determinar;Colisión vehículo / vehículo;2018-07-22 00:00:00.000;Calle
Ministerio de Seguridad;595;Julio;14:00;Diurno;Varón;66;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-23 00:00:00.000;Calle
Ministerio de Seguridad;357;Julio;19:40;Nocturno;Varón;-1;Sin determinar;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-23 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;280;Julio;15:40;Diurno;Varón;71;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-24 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;693;Julio;18:10;Diurno;Varón;51;45 - 54;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-25 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;693;Julio;18:10;Diurno;Varón;84;75 y más;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-25 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;791;Julio;05:30;Nocturno;Varón;42;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-07-25 00:00:00.000;Calle
Ministerio de Seguridad;028;Julio;22:10;Nocturno;Varón;25;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-25 00:00:00.000;Calle
Ministerio de Seguridad;434;Julio;22:00;Nocturno;Varón;58;55 - 64;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-25 00:00:00.000;Calle
Ministerio de Seguridad;091;Julio;06:00;Nocturno;Varón;61;55 - 64;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-25 00:00:00.000;Calle
Ministerio de Seguridad;270;Julio;15:30;Diurno;Varón;30;25 - 34;Conductor;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-07-25 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;441;Julio;04:10;Nocturno;Varón;23;15 - 24;Acompañante;Camioneta;Camioneta;Vuelco / despiste;2018-07-25 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;441;Julio;04:10;Nocturno;Varón;33;25 - 34;Conductor;Camioneta;Camioneta;Vuelco / despiste;2018-07-25 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;483;Julio;16:15;Diurno;Varón;47;45 - 54;Conductor;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-07-26 00:00:00.000;Calle
Ministerio de Seguridad;287;Julio;00:45;Nocturno;Varón;15;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-26 00:00:00.000;Calle
Ministerio de Seguridad;357;Julio;15:30;Diurno;Varón;40;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-26 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;147;Julio;19:30;Nocturno;Varón;22;15 - 24;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-07-26 00:00:00.000;Calle
Ministerio de Seguridad;547;Julio;20:00;Nocturno;Varón;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-27 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;413;Julio;05:30;Nocturno;Varón;45;45 - 54;Conductor;Camioneta;Camioneta;Vuelco / despiste;2018-07-28 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;882;Julio;06:20;Nocturno;Varón;-1;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-07-28 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;028;Julio;22:30;Nocturno;Varón;24;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-28 00:00:00.000;Calle
Ministerio de Seguridad;497;Julio;23:11;Nocturno;Mujer;57;55 - 64;Acompañante;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-28 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;497;Julio;23:11;Nocturno;Varón;57;55 - 64;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-28 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;427;Julio;20:49;Nocturno;Varón;46;45 - 54;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-29 00:00:00.000;Calle
Ministerio de Seguridad;028;Julio;02:00;Nocturno;Varón;19;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-29 00:00:00.000;Calle
Ministerio de Seguridad;490;Julio;20:00;Nocturno;Varón;57;55 - 64;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-07-29 00:00:00.000;Calle
Ministerio de Seguridad;077;Julio;19:25;Nocturno;Varón;76;75 y más;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-30 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;427;Julio;03:00;Nocturno;Varón;18;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-30 00:00:00.000;Calle
Ministerio de Seguridad;756;Julio;14:50;Diurno;Varón;83;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-31 00:00:00.000;Calle
Ministerio de Seguridad;756;Julio;08:30;Diurno;Varón;41;35 - 44;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-07-31 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;638;Julio;15:50;Diurno;Varón;34;25 - 34;Sin determinar;Sin determinar;Sin determinar;Colisión vehículo / vehículo;2018-07-31 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;413;Agosto;07:00;Nocturno;Mujer;28;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-01 00:00:00.000;Calle
Ministerio de Seguridad;644;Agosto;11:30;Diurno;Varón;28;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-01 00:00:00.000;Calle
Ministerio de Seguridad;056;Agosto;01:10;Nocturno;Mujer;21;15 - 24;Acompañante;Motocicleta;Motocicleta;Vuelco / despiste;2018-08-01 00:00:00.000;Calle
Ministerio de Seguridad;560;Agosto;15:24;Diurno;Varón;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-01 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;515;Agosto;12:00;Diurno;Mujer;76;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-02 00:00:00.000;Calle
Ministerio de Seguridad;371;Agosto;20:00;Nocturno;Varón;41;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-02 00:00:00.000;Calle
Ministerio de Seguridad;427;Agosto;19:55;Nocturno;Varón;22;15 - 24;Conductor;Motocicleta;Motocicleta;Sin determinar;2018-08-02 00:00:00.000;Calle
Ministerio de Seguridad;028;Agosto;22:20;Nocturno;Varón;32;25 - 34;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-08-02 00:00:00.000;Calle
Ministerio de Seguridad;035;Agosto;09:10;Diurno;Varón;25;25 - 34;Conductor;Colectivo;Colectivo;Colisión vehículo / vehículo;2018-08-02 00:00:00.000;Calle
Ministerio de Seguridad;427;Agosto;08:40;Diurno;Varón;77;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-03 00:00:00.000;Calle
Ministerio de Seguridad;623;Agosto;07:00;Nocturno;Varón;18;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;728;Agosto;11:45;Diurno;Varón;28;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-04 00:00:00.000;Calle
Ministerio de Seguridad;791;Agosto;04:00;Nocturno;Varón;27;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-05 00:00:00.000;Calle
Ministerio de Seguridad;042;Agosto;05:00;Nocturno;Varón;27;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-05 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;042;Agosto;05:00;Nocturno;Varón;30;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-05 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;560;Agosto;06:20;Nocturno;Varón;22;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-08-05 00:00:00.000;Calle
Ministerio de Seguridad;245;Agosto;12:00;Diurno;Varón;67;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-05 00:00:00.000;Calle
Ministerio de Seguridad;441;Agosto;09:12;Diurno;Mujer;22;15 - 24;Sin determinar;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-05 00:00:00.000;Calle
Ministerio de Seguridad;134;Agosto;17:20;Diurno;Mujer;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-07 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;028;Agosto;10:30;Diurno;Varón;93;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-08 00:00:00.000;Calle
Ministerio de Seguridad;385;Agosto;22:30;Nocturno;Varón;21;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-08 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;826;Agosto;19:30;Nocturno;Varón;73;65 - 74;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-08-09 00:00:00.000;Calle
Ministerio de Seguridad;105;Agosto;07:30;Diurno;Varón;30;25 - 34;Acompañante;Automóvil;Automóvil;Vuelco / despiste;2018-08-09 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;105;Agosto;07:30;Diurno;Varón;28;25 - 34;Acompañante;Automóvil;Automóvil;Vuelco / despiste;2018-08-09 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;427;Agosto;19:00;Diurno;Varón;39;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-09 00:00:00.000;Calle
Ministerio de Seguridad;371;Agosto;15:30;Diurno;Varón;66;65 - 74;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-10 00:00:00.000;Calle
Ministerio de Seguridad;091;Agosto;07:10;Diurno;Varón;42;35 - 44;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-08-10 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;434;Agosto;17:15;Diurno;Varón;60;55 - 64;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-10 00:00:00.000;Calle
Ministerio de Seguridad;560;Agosto;09:20;Diurno;Varón;19;15 - 24;Conductor;Motocicleta;Motocicleta;Sin determinar;2018-08-11 00:00:00.000;Calle
Ministerio de Seguridad;770;Agosto;05:30;Nocturno;Varón;71;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-12 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;505;Agosto;19:00;Diurno;Varón;29;25 - 34;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-08-12 00:00:00.000;Calle
Ministerio de Seguridad;840;Agosto;13:50;Diurno;Varón;41;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-12 00:00:00.000;Calle
Ministerio de Seguridad;035;Agosto;17:20;Diurno;Varón;12;5 - 14;Acompañante;Camión;Camión;Sin determinar;2018-08-12 00:00:00.000;Calle
Ministerio de Seguridad;778;Agosto;12:20;Diurno;Varón;56;55 - 64;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-13 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;357;Agosto;21:05;Nocturno;Mujer;58;55 - 64;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-13 00:00:00.000;Calle
Ministerio de Seguridad;861;Agosto;11:50;Diurno;Varón;47;45 - 54;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-08-13 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;623;Agosto;06:45;Nocturno;Mujer;34;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-14 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;728;Agosto;00:20;Nocturno;Mujer;37;35 - 44;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-14 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;882;Agosto;22:30;Nocturno;Varón;50;45 - 54;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-16 00:00:00.000;Calle
Ministerio de Seguridad;805;Agosto;00:00;Nocturno;Varón;25;25 - 34;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-08-16 00:00:00.000;Calle
Ministerio de Seguridad;410;Agosto;10:30;Diurno;Mujer;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-17 00:00:00.000;Calle
Ministerio de Seguridad;568;Agosto;03:40;Nocturno;Varón;56;55 - 64;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-08-17 00:00:00.000;Calle
Ministerio de Seguridad;469;Agosto;22:30;Nocturno;Varón;24;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-18 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;469;Agosto;22:30;Nocturno;Varón;25;25 - 34;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-18 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;469;Agosto;22:30;Nocturno;Varón;32;25 - 34;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-18 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;469;Agosto;22:30;Nocturno;Mujer;25;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-18 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;420;Agosto;21:20;Nocturno;Varón;9;5 - 14;Pasajero;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-18 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;812;Agosto;07:43;Diurno;Varón;38;35 - 44;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-08-18 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;644;Agosto;18:05;Diurno;Varón;58;55 - 64;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-08-18 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;791;Agosto;13:30;Diurno;Varón;79;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-08-19 00:00:00.000;Calle
Ministerio de Seguridad;042;Agosto;17:00;Diurno;Varón;50;45 - 54;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-08-20 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;595;Agosto;06:00;Nocturno;Mujer;59;55 - 64;Acompañante;Camioneta;Camioneta;Vuelco / despiste;2018-08-22 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;518;Agosto;07:10;Diurno;Varón;27;25 - 34;Acompañante;Colectivo;Colectivo;Vuelco / despiste;2018-08-22 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;518;Agosto;07:10;Diurno;Varón;16;15 - 24;Acompañante;Colectivo;Colectivo;Vuelco / despiste;2018-08-22 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;518;Agosto;07:10;Diurno;Varón;-1;Sin determinar;Acompañante;Colectivo;Colectivo;Vuelco / despiste;2018-08-22 00:00:00.000;Autopista / Autovía
