BASE ORIGEN;PARTIDO;FECHA DEL HECHO;MES;HORA;DÍA DE LA SEMANA;DIA DE LA SEMANA AGRUPADO;Diurno/Nocturno;TIPO DE LUGAR;MODO DE PRODUCCIÓN DEL HECHO;SEXO DE LA VÍCTIMA;EDAD;EDAD AGRUPADA;TIPO DE VÍCTIMA;VEHÍCULO DE LA VÍCTIMA
Ministerio de Seguridad;427;1/1/2020;Enero;00:30;Miércoles;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Conductor;Motocicleta
Ministerio de Seguridad;476;13/1/2020;Enero;03:50;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Peatón;No corresponde (peatón)
Ministerio de Seguridad;805;14/2/2020;Febrero;05:00;Viernes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / objeto;Masculino;30;25 - 34  ;Conductor;Colectivo
Ministerio de Seguridad;427;20/2/2020;Febrero;12:20;Jueves;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;17;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;826;10/3/2020;Marzo;00:01;Martes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;75;75 y más;Conductor;Automóvil
Ministerio de Seguridad;476;13/1/2020;Enero;03:50;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Conductor;Motocicleta
Ministerio de Seguridad;70;13/1/2020;Enero;04:00;Lunes;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;36;35 - 44  ;Conductor;Bicicleta
Ministerio de Seguridad;805;10/3/2020;Marzo;00:00;Martes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;55;55 - 64  ;Conductor;Camión
Ministerio de Seguridad;560;20/1/2020;Enero;12:08;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;28;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;638;7/1/2020;Enero;22:20;Martes;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;581;18/5/2020;Mayo;09:00;Lunes;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;32;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;196;30/4/2020;Abril;17:05;Jueves;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;28;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;515;13/2/2020;Febrero;04:15;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;Sin determinar;Sin determinar;Conductor;Camión
Ministerio de Seguridad;756;16/3/2020;Marzo;06:30;Lunes;Lunes a Viernes;Nocturno;Autopista / Autovía;Vuelco / despiste;Femenino;Sin determinar;Sin determinar;Pasajero;Colectivo
Ministerio de Seguridad;648;16/2/2020;Febrero;06:30;Domingo;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;53;45 - 54  ;Conductor;Automóvil
Ministerio de Seguridad;91;25/5/2020;Mayo;17:30;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;Sin determinar;Sin determinar;Acompañante;Automóvil
Ministerio de Seguridad;791;25/6/2020;Junio;07:45;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;47;45 - 54  ;Conductor;Camioneta
Ministerio de Seguridad;224;1/2/2020;Febrero;00:30;Sábado;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Conductor;Automóvil
Ministerio de Seguridad;441;1/1/2020;Enero;00:30;Miércoles;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Conductor;Automóvil
Ministerio de Seguridad;547;17/2/2020;Febrero;07:25;Lunes;Lunes a Viernes;Nocturno;Autopista / Autovía;Vuelco / despiste;Femenino;4;0 - 4  ;Acompañante;Automóvil
Ministerio de Seguridad;644;19/1/2020;Enero;10:15;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Motocicleta
Ministerio Público;595;16/9/2020;Septiembre;14:44;Miércoles;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;34;25 - 34  ;Conductor;Motocicleta
Ministerio Público;476;17/2/2020;Febrero;17:30;Lunes;Lunes a Viernes;Diurno;Ruta Provincial;Vuelco / despiste;Masculino;39;35 - 44  ;Conductor;Automóvil
Ministerio Público;252;23/2/2020;Febrero;03:00;Domingo;Fin de semana;Nocturno;Autopista / Autovía;Colisión Vehículo / vehículo;Femenino;21;15 - 24  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio Público;224;27/8/2020;Agosto;06:25;Jueves;Lunes a Viernes;Nocturno;Calle;Otro modo;Masculino;33;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio Público;497;17/6/2020;Junio;17:30;Sin determinar;Sin determinar;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;45;45 - 54  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio Público;532;12/8/2020;Agosto;07:20;Miércoles;Lunes a Viernes;Diurno;Ruta Nacional;Otro modo;Masculino;24;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio Público;497;26/12/2020;Diciembre;23:30;Sábado;Fin de semana;Nocturno;Ruta Nacional;Otro modo;Masculino;30;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio Público;274;21/7/2020;Julio;00:00;Martes;Lunes a Viernes;Nocturno;Calle;Otro modo;Masculino;18;15 - 24  ;Acompañante;Camión
Ministerio Público;672;23/11/2020;Noviembre;20:20;Lunes;Lunes a Viernes;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;52;45 - 54  ;Acompañante;Automóvil
Ministerio de Salud;112;9/4/2020;Abril;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Sin determinar;Masculino;71;65 - 74  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;420;27/8/2020;Agosto;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Sin determinar;Masculino;20;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;728;3/12/2020;Diciembre;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Sin determinar;Masculino;16;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;539;26/1/2020;Enero;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Sin determinar;Masculino;26;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;728;8/3/2020;Marzo;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;22;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;595;16/9/2020;Septiembre;Sin determinar;Miércoles;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;34;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;364;7/11/2020;Noviembre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;63;55 - 64  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;469;24/11/2020;Noviembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;66;65 - 74  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;147;2/2/2020;Febrero;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Femenino;59;55 - 64  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;882;3/1/2020;Enero;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;72;65 - 74  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;568;29/5/2020;Mayo;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;19;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;638;2/10/2020;Octubre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;515;14/10/2020;Octubre;Sin determinar;Miércoles;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;26;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;763;22/11/2020;Noviembre;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;28;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;602;24/11/2020;Noviembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;67;65 - 74  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;126;25/12/2020;Diciembre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;42;35 - 44  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;658;2/3/2020;Marzo;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;47;45 - 54  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;427;19/4/2020;Abril;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;19;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;763;1/6/2020;Junio;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;31;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;658;21/6/2020;Junio;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;34;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;623;31/8/2020;Agosto;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;62;55 - 64  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;441;19/9/2020;Septiembre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;17;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;749;24/10/2020;Octubre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;27;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;658;30/10/2020;Octubre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;18;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;707;7/11/2020;Noviembre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;427;27/11/2020;Noviembre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;658;23/12/2020;Diciembre;Sin determinar;Miércoles;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;46;45 - 54  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;539;7/2/2020;Febrero;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;30;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;70;13/1/2020;Enero;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Femenino;50;45 - 54  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;434;14/11/2020;Noviembre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;16;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;581;13/11/2020;Noviembre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;17;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;035;18/12/2020;Diciembre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;19;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;672;21/11/2020;Noviembre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;17;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;763;30/11/2020;Noviembre;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;67;65 - 74  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;427;3/2/2020;Febrero;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;28;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;791;19/1/2020;Enero;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Femenino;3;0 - 4  ;Acompañante;Motocicleta
Ministerio de Salud;371;11/1/2020;Enero;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;50;45 - 54  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;623;10/10/2020;Octubre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;20;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;595;27/10/2020;Octubre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;21;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;638;12/12/2020;Diciembre;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;48;45 - 54  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;028;9/3/2020;Marzo;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;23;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Salud;294;8/12/2020;Diciembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;18;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio Público;126;2/2/2020;Febrero;08:20;Domingo;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;28;25 - 34  ;Conductor;Motocicleta
Ministerio Público;270;4/7/2020;Julio;08:00;Sábado;Fin de semana;Diurno;Calle;Colisión Vehículo / objeto;Masculino;24;15 - 24  ;Conductor;Motocicleta
Ministerio Público;260;4/4/2020;Abril;18:30;Sábado;Fin de semana;Diurno;Calle;Sin determinar;Masculino;65;65 - 74  ;Conductor;Motocicleta
Ministerio de Salud;778;11/8/2020;Agosto;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Sin determinar;Masculino;24;15 - 24  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;301;1/9/2020;Septiembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Sin determinar;Masculino;55;55 - 64  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;427;18/7/2020;Julio;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;27;25 - 34  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;568;29/12/2020;Diciembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;67;65 - 74  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;833;13/8/2020;Agosto;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;20;15 - 24  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;595;20/3/2020;Marzo;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;72;65 - 74  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;763;6/1/2020;Enero;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Femenino;53;45 - 54  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;763;17/6/2020;Junio;Sin determinar;Miércoles;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;27;25 - 34  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;427;11/12/2020;Diciembre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;66;65 - 74  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;134;29/12/2020;Diciembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Femenino;37;35 - 44  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;833;16/3/2020;Marzo;Sin determinar;Lunes;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;20;15 - 24  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;126;26/4/2020;Abril;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;49;45 - 54  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;623;16/5/2020;Mayo;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;63;55 - 64  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;638;6/8/2020;Agosto;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;65;65 - 74  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;847;6/12/2020;Diciembre;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Otro modo (sin colisión);Femenino;22;15 - 24  ;Ocupante de vehículo (sin especificar);Camioneta
Ministerio de Salud;700;25/6/2020;Junio;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / objeto;Masculino;65;65 - 74  ;Ocupante de vehículo (sin especificar);Camioneta
Ministerio de Salud;049;25/6/2020;Junio;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;52;45 - 54  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Salud;063;2/1/2020;Enero;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;18;15 - 24  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Salud;028;15/11/2020;Noviembre;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Femenino;25;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
