Origen de la base;Código de partido (Según INDEC);Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad agrupada;Sexo;Clase de Víctima;Vehículo Víctima;Tipo de Lugar;Modo de Producción del Hecho;
Ministerio de Seguridad;063;27/02/2017;2;08:50;Diurno;55 - 64;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;063;27/02/2017;2;08:50;Diurno;55 - 64;Mujer;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;819;25/02/2017;2;17:45;Diurno;45 - 54;Varón;Conductor;Motocicleta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;063;02/03/2017;3;10:30;Diurno;35 - 44;Varón;Acompañante;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;091;04/03/2017;3;04:38;Nocturno;45 - 54;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;770;07/03/2017;3;18:50;Diurno;65 - 74;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;630;11/03/2017;3;13:05;Diurno;75 y más;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;648;12/03/2017;3;00:10;Nocturno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;483;13/03/2017;3;05:40;Nocturno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;770;17/03/2017;3;06:30;Nocturno;15 - 24;Varón;Acompañante;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;19/03/2017;3;21:26;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;882;19/03/2017;3;05:50;Nocturno;0 - 4;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;791;18/03/2017;3;08:10;Diurno;65 - 74;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;875;24/03/2017;3;20:40;Nocturno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;357;24/03/2017;3;17:30;Diurno;55 - 64;Mujer;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;063;14/03/2017;3;11:30;Diurno;25 - 34;Varón;Conductor;Bicicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;217;26/03/2017;3;02:55;Nocturno;45 - 54;Varón;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;091;22/03/2017;3;07:00;Nocturno;45 - 54;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;357;28/03/2017;3;23:00;Nocturno;15 - 24;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;270;28/03/2017;3;08:55;Diurno;45 - 54;Varón;Conductor;Automóvil;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;623;01/04/2017;4;21:20;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;999;05/04/2017;4;22:00;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;999;05/04/2017;4;22:00;Nocturno;45 - 54;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;999;05/04/2017;4;22:00;Nocturno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;091;06/04/2017;4;08:50;Diurno;15 - 24;Varón;Conductor;Motocicleta;Autopista Provincial;Vuelco / despiste;
Ministerio de Seguridad;420;08/04/2017;4;20:00;Nocturno;45 - 54;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;518;07/04/2017;4;16:45;Diurno;75 y más;Mujer;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;638;09/04/2017;4;07:10;Diurno;15 - 24;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;294;11/04/2017;4;18:30;Diurno;45 - 54;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;999;16/04/2017;4;07:55;Diurno;35 - 44;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;17/04/2017;4;08:00;Diurno;35 - 44;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;17/04/2017;4;08:00;Diurno;45 - 54;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;16/04/2017;4;02:50;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;17/04/2017;4;03:40;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;063;13/04/2017;4;14:00;Diurno;35 - 44;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;238;16/04/2017;4;13:35;Diurno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;581;12/04/2017;4;21:30;Nocturno;45 - 54;Mujer;Acompañante;Camioneta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;091;18/04/2017;4;07:15;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;10/04/2017;4;21:30;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;22/04/2017;4;08:00;Diurno;35 - 44;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;24/04/2017;4;16:10;Diurno;45 - 54;Mujer;Acompañante;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;238;24/04/2017;4;06:15;Nocturno;25 - 34;Varón;Acompañante;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;02/05/2017;5;07:30;Diurno;35 - 44;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;644;01/05/2017;5;17:54;Diurno;35 - 44;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;270;01/05/2017;5;22:45;Nocturno;75 y más;Varón;Conductor;Automóvil;Autopista Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;638;06/05/2017;5;06:30;Nocturno;15 - 24;Varón;Conductor;Automóvil;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;06/05/2017;5;08:58;Diurno;25 - 34;Varón;Conductor;Motocicleta;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;357;11/05/2017;5;12:30;Nocturno;55 - 64;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;770;12/05/2017;5;11:50;Diurno;35 - 44;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;770;12/05/2017;5;11:50;Diurno;5 - 14;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;638;13/05/2017;5;03:00;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;623;24/05/2017;5;13:00;Diurno;65 - 74;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;27/05/2017;5;14:10;Diurno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;819;31/05/2017;5;12:00;Nocturno;45 - 54;Varón;Conductor;Bicicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;27/05/2017;5;01:30;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;27/05/2017;5;01:30;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;833;01/06/2017;6;23:30;Nocturno;15 - 24;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;763;07/06/2017;6;13:30;Diurno;25 - 34;Mujer;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;413;06/06/2017;6;23:30;Nocturno;75 y más;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;063;09/06/2017;6;20:45;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;063;09/06/2017;6;20:45;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;11/06/2017;6;22:55;Nocturno;Sin determinar;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;581;08/06/2017;6;18:30;Diurno;75 y más;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;070;12/06/2017;6;06:32;Nocturno;Sin determinar;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;791;18/06/2017;6;07:45;Diurno;35 - 44;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;511;13/06/2017;6;21:05;Nocturno;35 - 44;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;19/06/2017;6;00:20;Nocturno;55 - 64;Mujer;Acompañante;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;19/06/2017;6;00:20;Nocturno;45 - 54;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;357;23/06/2017;6;10:00;Diurno;25 - 34;Varón;Acompañante;Camioneta;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;595;26/06/2017;6;06:00.;Nocturno;15 - 24;Varón;Conductor;Camión;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;819;09/07/2017;7;13:55;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;270;09/07/2017;7;10:10;Diurno;15 - 24;Varón;Acompañante;Automóvil;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;270;09/07/2017;7;10:10;Diurno;25 - 34;Varón;Conductor;Automóvil;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;357;22/07/2017;7;03:30;Nocturno;25 - 34;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;413;21/07/2017;7;08:00;Diurno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;357;27/07/2017;7;16:30;Diurno;15 - 24;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;483;28/07/2017;7;17:30;Diurno;65 - 74;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;763;31/07/2017;7;23:30;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;357;05/08/2017;8;20:00;Nocturno;65 - 74;Mujer;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;623;07/08/2017;8;23:40;Nocturno;45 - 54;Varón;Conductor;Camión;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;623;08/08/2017;8;22:10;Nocturno;25 - 34;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;03/08/2017;8;21:50;Nocturno;45 - 54;Mujer;Conductor;Motocicleta;Autopista Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;770;09/08/2017;8; 08:10;Diurno;35 - 44;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;301;11/08/2017;8;23:55;Nocturno;25 - 34;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;06/08/2017;8;18:40;Diurno;5 - 14;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;028;12/08/2017;8;01:20;Nocturno;75 y más;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;168;16/08/2017;8;07:20;Diurno;45 - 54;Varón;Acompañante;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;063;20/08/2017;8;20:15;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;791;27/08/2017;8;11:15;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;826;26/08/2017;8;21:00;Nocturno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;238;30/08/2017;8;21:20;Nocturno;15 - 24;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;238;30/08/2017;8;21:20;Nocturno;65 - 74;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;070;03/09/2017;9;10:00;Diurno;75 y más;Mujer;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;791;04/09/2017;9;02:30;Nocturno;65 - 74;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;399;07/09/2017;9;12:22;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;399;07/09/2017;9;12:22;Nocturno;45 - 54;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;882;07/09/2017;9;10:00;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;08/09/2017;9;20:00;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;609;15/09/2017;9;08:00;Diurno;45 - 54;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;15/09/2017;9;08:00;Diurno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;15/09/2017;9;08:00;Diurno;15 - 24;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;266;24/09/2017;9;16:00;Diurno;0 - 4;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;070;24/09/2017;9;20:25;Nocturno;25 - 34;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;581;26/09/2017;9; 11:45;Diurno;35 - 44;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;581;26/09/2017;9;11:45;Diurno;45 - 54;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;30/09/2017;9;23:30;Nocturno;Sin determinar;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;05/10/2017;10;00:36;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;05/10/2017;10;00:36;Nocturno;35 - 44;Mujer;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;287;08/10/2017;10;21:30;Nocturno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;301;07/10/2017;10;18:30;Diurno;55 - 64;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;623;14/10/2017;10;06:00;Nocturno;25 - 34;Varón;Conductor;Bicicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;217;14/10/2017;10;16:57;Diurno;25 - 34;Varón;Conductor;Bicicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;763;21/10/2017;10;03:20;Nocturno;25 - 34;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;770;02/11/2017;11;10:30;Diurno;45 - 54;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;735;30/10/2017;10;06:20;Nocturno;65 - 74;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;875;03/11/2017;11;16:20;Diurno;35 - 44;Mujer;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;728;27/10/2017;10;20:20;Nocturno;25 - 34;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;070;04/11/2017;11;09:30;Diurno;45 - 54;Varón;Conductor;Camión;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;826;09/11/2017;11;13:45;Diurno;65 - 74;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;266;11/11/2017;11;23:20;Nocturno;0 - 4;Mujer;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;638;19/11/2017;11;21:05;Nocturno;35 - 44;Varón;Peatón;Peatón;Autopista Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;322;17/11/2017;11;13:00;Diurno;75 y más;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;728;25/11/2017;11;08:30;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;833;30/11/2017;11;23:45;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;357;03/12/2017;12;08:00;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;01/12/2017;12;02:15;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;056;05/12/2017;12;22:30;Nocturno;15 - 24;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;03/12/2017;12;13:30;Diurno;65 - 74;Varón;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;399;07/12/2017;12;21:35;Nocturno;35 - 44;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;10/12/2017;12;09:15;Diurno;5 - 14;Varón;Acompañante;Camioneta;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;882;13/12/2017;12;11:50;Diurno;25 - 34;Varón;Acompañante;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;322;13/12/2017;12;12:20;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;518;14/12/2017;12;14:25;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;581;15/12/2017;12;21:15;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;21/12/2017;12;04:25;Nocturno;75 y más;Varón;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;134;23/12/2017;12;21:50;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;399;21/12/2017;12;00:20;Nocturno;45 - 54;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;399;21/12/2017;12;00:20;Nocturno;65 - 74;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;763;02/01/2017;1;07:30;Diurno;15 - 24;Varón;Acompañante;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;763;19/01/2017;1;19:30;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Nacional;Sin determinar;
Ministerio de Seguridad;665;31/01/2017;1;09:30;Diurno;45 - 54;Mujer;Acompañante;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;665;31/01/2017;1;09:30;Diurno;65 - 74;Varón;Acompañante;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;070;01/02/2017;2;16:20;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;763;02/02/2017;2;20:30;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;770;12/02/2017;2;21:00;Nocturno;55 - 64;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;770;26/02/2017;2;05:50;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;763;23/03/2017;3;06:30;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;665;01/05/2017;5;00:30;Nocturno;35 - 44;Varón;Conductor;Colectivo;Ruta Nacional;Colisión vehículo / vehículo;
